"id","author_label","group_label","beta_twfe","se_twfe","beta_twfe_no_ctrls","se_twfe_no_ctrls","att_csdid_nt","se_csdid_nt","att_csdid_nyt","se_csdid_nyt","att_nt_simple","se_nt_simple","att_nyt_simple","se_nyt_simple","att_nt_dynamic","se_nt_dynamic","att_nyt_dynamic","se_nyt_dynamic","att_cs_nt_with_ctrls","se_cs_nt_with_ctrls","att_cs_nt_with_ctrls_dyn","se_cs_nt_with_ctrls_dyn","cs_nt_with_ctrls_status","att_cs_nyt_with_ctrls","se_cs_nyt_with_ctrls","att_cs_nyt_with_ctrls_dyn","se_cs_nyt_with_ctrls_dyn","cs_nyt_with_ctrls_status","has_event_study","treatment_timing","data_structure"
337,"Cameron, Seager, Shah (2021)","unica_sem_controles",0.272562768828046,0.0315896572990016,0.272562768828046,0.0315896572990016,0.211204143024848,0.468755970709518,NA,NA,0.211204143024848,0.434013231582495,NA,NA,0.211204143024848,0.443582477667402,NA,NA,NA,NA,NA,NA,"N/A_no_twfe_controls",NA,NA,NA,NA,"NOT_ATTEMPTED",FALSE,"single","repeated_cross_section"
347,"Courtemanche et al. (2025)","escalonada_controles",-0.174401233822183,0.0807748897776127,NA,NA,-0.448002223969434,0.0990825622068336,-0.438955691580461,0.100429793950008,-0.448002223969434,0.0990825622068336,-0.438955691580461,0.100429793950008,-0.448002223969434,0.0990825622068336,-0.438955691580461,0.100429793950008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"staggered","repeated_cross_section"
358,"Bargain, Boutin, Champeaux (2019)","unica_controles",4.18087364321798,1.05256366426773,4.95148046265967,1.03239254988758,4.5914309994703,1.02416009023347,NA,NA,4.5914309994703,0.994455978423883,NA,NA,4.5914309994703,0.995020599995099,NA,NA,0,NA,0,NA,"OK",NA,NA,NA,NA,"NOT_ATTEMPTED",FALSE,"single","repeated_cross_section"
359,"Anderson, Charles, Olivares, Rees (2019)","escalonada_controles",-0.0362912326360713,0.0332952656725952,-0.0360613725501982,0.0346528505599291,0.017467229282302,0.101200370412111,0.0182140017560287,0.103622353828408,0.0202838719544578,0.0912488906480705,0.02073978983877,0.0884930515884927,0.0113241326285584,0.0869437125423896,0.011812014219994,0.0867342648479561,0,NA,0,NA,"OK",0,NA,0,NA,"OK",TRUE,"staggered","repeated_cross_section"
395,"Malkova (2018)","escalonada_sem_controles",1.09077879994579,0.408643260896881,1.09077879994579,0.408643260896881,NA,NA,1.96793775996215,0.525549552870568,NA,NA,1.96793775996215,0.548224856601003,NA,NA,1.96793775996215,0.547269484124588,NA,NA,NA,NA,"NOT_ATTEMPTED",NA,NA,NA,NA,"N/A_no_twfe_controls",TRUE,"staggered","panel"
401,"Rossin-Slater (2017)","escalonada_controles",-0.0285386336405328,0.0075655819445946,-0.0350672344334259,0.00863472621392397,-0.00258725148789525,0.0137513226389717,-0.0024257182483294,0.0157103473743399,-0.000359405802617554,0.0131719064359641,-0.00134063619826942,0.0123492692791008,0.0101924856118926,0.0106964672248632,0.00461385016256077,0.00927382833379138,0,NA,0,NA,"OK",0,NA,0,NA,"OK",TRUE,"staggered","repeated_cross_section"
419,"Kahn, Li, Zhao (2015)","unica_controles",-2.01218728650879,1.02250434216033,-2.13547852437821,1.04307095760177,-1.41136717731039,0.87523069696933,NA,NA,-1.41136717731039,0.897756707744547,NA,NA,-1.41136717731039,0.942640437660167,NA,NA,-1.67773348094217,0.85331423629521,-1.67773348094217,0.869429785205129,"OK",NA,NA,NA,NA,"NOT_ATTEMPTED",TRUE,"single","panel"
420,"Bailey, Goodman-Bacon (2015)","escalonada_controles",-53.2073608219238,14.837204081409,-53.2523464322222,12.6209839501303,-58.9910856173286,19.6280830186417,NA,NA,-61.4283486170356,19.0595520563928,NA,NA,-58.9946183866219,21.3396568936578,NA,NA,-6.78023645355946,27.6938849110363,7.45935797440315,45.3989584660506,"OK",NA,NA,NA,NA,"NOT_ATTEMPTED",TRUE,"staggered","panel"
432,"Gallagher (2014)","escalonada_sem_controles",0.109513545033387,0.0163032409583095,0.109513545033387,0.0163032409583095,0.121491906068443,0.0149749796772801,0.115450825973561,0.0174217914171755,0.131208144681261,0.0186504657908161,0.12164303454491,0.0196456293177812,0.127986944203137,0.0261306136739513,0.119464536825834,0.0257657084129988,NA,NA,NA,NA,"N/A_no_twfe_controls",NA,NA,NA,NA,"N/A_no_twfe_controls",TRUE,"staggered","panel"
433,"DeAngelo, Hansen (2014)","unica_controles",0.699979576474942,0.13285804508241,0.715075311905706,0.132243272070453,0.69787486799015,0.361312042983873,NA,NA,0.69787486799015,0.36989129997409,NA,NA,0.69787486799015,0.365183401226009,NA,NA,1.73268202490608,0.420977605356864,1.73268202490608,0.440072361345265,"OK",NA,NA,NA,NA,"NOT_ATTEMPTED",TRUE,"single","panel"
437,"Hausman (2014)","escalonada_sem_controles",-42.2449873972666,66.0978549284633,-42.2449873972666,66.0978549284633,-1.9431506332672,22.3051228998403,-3.72394785731896,20.1635005336808,-2.16127860750361,22.7264535076544,-4.5889614565265,23.7884662711286,2.06310204956884,21.7326795083747,0.216671452649837,21.4848156882292,NA,NA,NA,NA,"N/A_no_twfe_controls",NA,NA,NA,NA,"N/A_no_twfe_controls",TRUE,"staggered","panel"
525,"Danzer & Zyska (2023)","unica_sem_controles",-0.00776323287895954,0.00284433143566655,0.0348685969388733,0.00306828939358948,-0.0140362570608885,0.00764089801740709,NA,NA,-0.0140362570608885,0.00750874799195287,NA,NA,-0.0140362570608885,0.00742660225018924,NA,NA,0,NA,0,NA,"OK",NA,NA,NA,NA,"NOT_ATTEMPTED",FALSE,"single","rcs"
744,"Jayachandran et al. (2010)","unica_controles",-0.281137657039284,0.1075973263312,13.616450707021,0.108710477806112,-0.333230450499319,0.0259629344076762,NA,NA,-0.333230450499319,0.0266132974504359,NA,NA,-0.333230450499319,0.0278288774572406,NA,NA,0,NA,0,NA,"OK",NA,NA,NA,NA,"NOT_ATTEMPTED",TRUE,"single","panel"
1094,"Fisman & Wang (2017)","escalonada_sem_controles",-0.0464715602120599,0.0409136014427681,-0.0464715602120599,0.0409136014427681,-0.0130651491365777,0.0660019551205665,NA,NA,-0.00089214908802537,0.0611230750900217,NA,NA,0.0276963116248831,0.0568469956945665,NA,NA,NA,NA,NA,NA,"N/A_no_twfe_controls",NA,NA,NA,NA,"NOT_ATTEMPTED",TRUE,"staggered","panel"
2303,"Cao & Ma (2023)","escalonada_controles",-4.8364925647417,1.49532520634809,NA,NA,-3.12628028854955,5.81002786316047,NA,NA,-5.44057343583777,6.43076227038971,NA,NA,-6.56766246287327,6.33447683195797,NA,NA,NA,NA,NA,NA,"FAIL_memory_doubly_robust_on_large_N",NA,NA,NA,NA,"FAIL_memory_doubly_robust_on_large_N",TRUE,"staggered","panel"
