"scope","item","status","detail","path"
"figures","health_did_replication agregado/panel_graduated_sensitivity.pdf","PASS","must match mapped output/figures file byte-for-byte","C:/Users/victo/OneDrive/Pesquisas/replication_analysis/Replication Package/health_did_replication/Figures/agregado/panel_graduated_sensitivity.pdf"
"figures","overleaf agregado/figure_4_1_aggregate_scatter_matched.pdf","PASS","must match mapped output/figures file byte-for-byte","C:/Users/victo/OneDrive/Pesquisas/replication_analysis/Replication Package/overleaf/Figures/agregado/figure_4_1_aggregate_scatter_matched.pdf"
"figures","health_did_replication agregado/figure_4_1_aggregate_scatter_matched.pdf","PASS","must match mapped output/figures file byte-for-byte","C:/Users/victo/OneDrive/Pesquisas/replication_analysis/Replication Package/health_did_replication/Figures/agregado/figure_4_1_aggregate_scatter_matched.pdf"
"figures","overleaf agregado/figure_4_1_headline_composite.pdf","PASS","must match mapped output/figures file byte-for-byte","C:/Users/victo/OneDrive/Pesquisas/replication_analysis/Replication Package/overleaf/Figures/agregado/figure_4_1_headline_composite.pdf"
"figures","health_did_replication agregado/figure_4_1_headline_composite.pdf","PASS","must match mapped output/figures file byte-for-byte","C:/Users/victo/OneDrive/Pesquisas/replication_analysis/Replication Package/health_did_replication/Figures/agregado/figure_4_1_headline_composite.pdf"
"figures","overleaf agregado/figure_4_1_signif_matrix.pdf","PASS","must match mapped output/figures file byte-for-byte","C:/Users/victo/OneDrive/Pesquisas/replication_analysis/Replication Package/overleaf/Figures/agregado/figure_4_1_signif_matrix.pdf"
"figures","health_did_replication agregado/figure_4_1_signif_matrix.pdf","PASS","must match mapped output/figures file byte-for-byte","C:/Users/victo/OneDrive/Pesquisas/replication_analysis/Replication Package/health_did_replication/Figures/agregado/figure_4_1_signif_matrix.pdf"
"figures","overleaf agregado/variacao_pct_matched.pdf","PASS","must match mapped output/figures file byte-for-byte","C:/Users/victo/OneDrive/Pesquisas/replication_analysis/Replication Package/overleaf/Figures/agregado/variacao_pct_matched.pdf"
"figures","health_did_replication agregado/variacao_pct_matched.pdf","PASS","must match mapped output/figures file byte-for-byte","C:/Users/victo/OneDrive/Pesquisas/replication_analysis/Replication Package/health_did_replication/Figures/agregado/variacao_pct_matched.pdf"
"figures","overleaf bacon/figure_4_X_bacon_dcdh_maclean.pdf","PASS","must match mapped output/figures file byte-for-byte","C:/Users/victo/OneDrive/Pesquisas/replication_analysis/Replication Package/overleaf/Figures/bacon/figure_4_X_bacon_dcdh_maclean.pdf"
"figures","health_did_replication bacon/figure_4_X_bacon_dcdh_maclean.pdf","PASS","must match mapped output/figures file byte-for-byte","C:/Users/victo/OneDrive/Pesquisas/replication_analysis/Replication Package/health_did_replication/Figures/bacon/figure_4_X_bacon_dcdh_maclean.pdf"
"figures","overleaf figure_4_8_mvpf_stress_test.pdf","PASS","must match mapped output/figures file byte-for-byte","C:/Users/victo/OneDrive/Pesquisas/replication_analysis/Replication Package/overleaf/Figures/figure_4_8_mvpf_stress_test.pdf"
"figures","health_did_replication figure_4_8_mvpf_stress_test.pdf","PASS","must match mapped output/figures file byte-for-byte","C:/Users/victo/OneDrive/Pesquisas/replication_analysis/Replication Package/health_did_replication/Figures/figure_4_8_mvpf_stress_test.pdf"
"figures","overleaf figure_4_8_mvpf_stress_test_panelA.pdf","PASS","must match mapped output/figures file byte-for-byte","C:/Users/victo/OneDrive/Pesquisas/replication_analysis/Replication Package/overleaf/Figures/figure_4_8_mvpf_stress_test_panelA.pdf"
