"T","G","weight","cohort_raw","cohort_year","cohort_lab"
209,4,0.00630962505080201,163,2017,"Cohort 2017"
210,4,0.0059532407311305,163,2017,"Cohort 2017"
211,4,0.00699278161492369,163,2017,"Cohort 2017"
212,4,0.00459418419962735,163,2017,"Cohort 2017"
213,4,0.0063887491655783,163,2017,"Cohort 2017"
214,4,0.00458537084404143,163,2017,"Cohort 2017"
215,4,0.00406837872571576,163,2017,"Cohort 2017"
216,4,0.00722197252149071,163,2017,"Cohort 2017"
217,4,0.00353516561937482,163,2017,"Cohort 2017"
218,4,0.00361962277991722,163,2017,"Cohort 2017"
219,4,0.00612039031005845,163,2017,"Cohort 2017"
220,4,0.00663829759461981,163,2017,"Cohort 2017"
221,4,0.00532619148036674,163,2017,"Cohort 2017"
222,4,0.00464915689588629,163,2017,"Cohort 2017"
223,4,0.005285225085699,163,2017,"Cohort 2017"
224,4,0.00421205291083182,163,2017,"Cohort 2017"
225,4,0.00518260259063956,163,2017,"Cohort 2017"
226,4,0.00488559747524713,163,2017,"Cohort 2017"
227,4,0.00527312597319896,163,2017,"Cohort 2017"
228,4,0.00567220578416476,163,2017,"Cohort 2017"
229,4,0.00323218765186779,163,2017,"Cohort 2017"
230,4,0.00358974502828507,163,2017,"Cohort 2017"
231,4,0.00563269550006174,163,2017,"Cohort 2017"
232,4,0.00439448550472221,163,2017,"Cohort 2017"
233,4,0.00430355132200817,163,2017,"Cohort 2017"
234,4,0.00382286754508323,163,2017,"Cohort 2017"
235,4,0.00367848287768502,163,2017,"Cohort 2017"
236,4,0.00484415406744692,163,2017,"Cohort 2017"
237,4,0.00634547273695408,163,2017,"Cohort 2017"
238,4,0.00213897628695808,163,2017,"Cohort 2017"
239,4,0.00293974012371441,163,2017,"Cohort 2017"
228,5,0.00170067628621061,228,2022,"Cohort 2022"
229,5,0.000351656692587251,228,2022,"Cohort 2022"
230,5,0.000716883909086548,228,2022,"Cohort 2022"
231,5,0.000338339335237438,228,2022,"Cohort 2022"
232,5,0.000681613737869737,228,2022,"Cohort 2022"
233,5,0.00118994115079471,228,2022,"Cohort 2022"
234,5,0.00303449002143435,228,2022,"Cohort 2022"
235,5,0.000655079826887873,228,2022,"Cohort 2022"
236,5,0.000367257960859852,228,2022,"Cohort 2022"
237,5,0.00235288641753502,228,2022,"Cohort 2022"
238,5,0.0024477583022762,228,2022,"Cohort 2022"
121,6,0.000644686188632573,121,2014,"Cohort 2014"
122,6,0.00160517884554788,121,2014,"Cohort 2014"
123,6,0.00096249788023474,121,2014,"Cohort 2014"
125,6,0.000643242749413908,121,2014,"Cohort 2014"
126,6,0.000966673252905147,121,2014,"Cohort 2014"
127,6,0.000323239301226044,121,2014,"Cohort 2014"
128,6,0.000959315594867142,121,2014,"Cohort 2014"
129,6,0.00159653556738126,121,2014,"Cohort 2014"
130,6,0.000960895995172096,121,2014,"Cohort 2014"
131,6,0.00064205352770064,121,2014,"Cohort 2014"
132,6,0.000326649785581702,121,2014,"Cohort 2014"
133,6,0.00191067140030027,121,2014,"Cohort 2014"
134,6,0.000960078045983794,121,2014,"Cohort 2014"
135,6,0.000961931904574032,121,2014,"Cohort 2014"
136,6,0.000959884347706797,121,2014,"Cohort 2014"
137,6,0.000955250308312453,121,2014,"Cohort 2014"
138,6,0.00158911089907807,121,2014,"Cohort 2014"
139,6,0.000649020011047569,121,2014,"Cohort 2014"
140,6,0.000964210588661022,121,2014,"Cohort 2014"
141,6,0.00156313834331293,121,2014,"Cohort 2014"
142,6,0.00157219342308754,121,2014,"Cohort 2014"
143,6,0.001605896757846,121,2014,"Cohort 2014"
144,6,0.000642567065577498,121,2014,"Cohort 2014"
145,6,0.000957774347521985,121,2014,"Cohort 2014"
146,6,0.000648541381437375,121,2014,"Cohort 2014"
147,6,0.000639734269386639,121,2014,"Cohort 2014"
148,6,0.00160771185029658,121,2014,"Cohort 2014"
149,6,0.00127808492964089,121,2014,"Cohort 2014"
150,6,0.00252400231809669,121,2014,"Cohort 2014"
151,6,0.00032437424726645,121,2014,"Cohort 2014"
152,6,0.00190077794173329,121,2014,"Cohort 2014"
153,6,0.000644378928615793,121,2014,"Cohort 2014"
154,6,0.00220183840682774,121,2014,"Cohort 2014"
155,6,0.00127929753018626,121,2014,"Cohort 2014"
156,6,0.000322663691803356,121,2014,"Cohort 2014"
157,6,0.000645785872848231,121,2014,"Cohort 2014"
158,6,0.00159210757321353,121,2014,"Cohort 2014"
159,6,0.00126696957541374,121,2014,"Cohort 2014"
160,6,0.00159952443582326,121,2014,"Cohort 2014"
161,6,0.000954859213727561,121,2014,"Cohort 2014"
162,6,0.000962665336296485,121,2014,"Cohort 2014"
163,6,0.00107953132489138,121,2014,"Cohort 2014"
164,6,0.00140645719751618,121,2014,"Cohort 2014"
165,6,0.00027087673263037,121,2014,"Cohort 2014"
166,6,0.000807181330525507,121,2014,"Cohort 2014"
167,6,0.000844429578983602,121,2014,"Cohort 2014"
168,6,0.00154062752781794,121,2014,"Cohort 2014"
169,6,0.000824098976923103,121,2014,"Cohort 2014"
171,6,0.000271783422766969,121,2014,"Cohort 2014"
172,6,0.000524005199634784,121,2014,"Cohort 2014"
173,6,0.00102742061452246,121,2014,"Cohort 2014"
174,6,0.0013028910494424,121,2014,"Cohort 2014"
175,6,0.000263474797319038,121,2014,"Cohort 2014"
176,6,0.000279731091119239,121,2014,"Cohort 2014"
177,6,0.000777927647350488,121,2014,"Cohort 2014"
178,6,0.000267362844467371,121,2014,"Cohort 2014"
179,6,0.000527732602849786,121,2014,"Cohort 2014"
180,6,0.000268564673546421,121,2014,"Cohort 2014"
181,6,0.00159718919667208,121,2014,"Cohort 2014"
182,6,0.000508975203067694,121,2014,"Cohort 2014"
